Power (Watts),Official Name of Satellite
160,ORBCOMM FM-18
160,ORBCOMM FM-19
160,ORBCOMM FM-20
160,ORBCOMM FM-13
160,ORBCOMM FM-31
160,STSat-2C
160,ORBCOMM FM-7
160,ORBCOMM FM-6
160,ORBCOMM FM-5
160,ORBCOMM FM-4
160,ORBCOMM FM-36
160,ORBCOMM FM-35
160,ORBCOMM FM-32
160,ORBCOMM FM-21
160,ORBCOMM FM-30
160,ORBCOMM FM-34
160,ORBCOMM FM-8
160,ORBCOMM FM-9
160,ORBCOMM FM-27
160,ORBCOMM FM-23
1600,IRNSS-1E
1600,Cosmos 2434
1600,Cosmos 2433
1600,Cosmos 2432
1600,Cosmos 2426
1600,Cosmos 2425
1600,Cosmos 2424
1600,Cosmos 2436
1600,IRNSS-1D
1600,Cosmos 2443
1600,Eutelsat 33A
1600,IRNSS-1G
1600,IRNSS-1F
1600,Cosmos 2419
16000,Measat 3B
16000,ABS-2
16000,Echostar G1
16000,Anik F2
16000,Eutelsat 65 West-A
16000,Galaxy-28
16100,Echostar 17
16400,NBN-1A
1660,IRNSS-1C
1660,IRNSS-1B
1660,IRNSS-1A
1700,Globalstar M096
1700,Globalstar M097
1700,Globalstar M077
1700,Cosmos 2501
1700,Globalstar M078
1700,Globalstar M095
1700,Globalstar M076
1700,Cosmos 2471
1700,Globalstar M094
1700,Globalstar M075
1700,Globalstar M092
1700,Globalstar M091
1700,Globalstar M089
1700,Globalstar M088
1700,Globalstar M086
1700,Globalstar M085
1700,Globalstar M084
1700,Globalstar M083
1700,Globalstar M082
1700,Globalstar M081
1700,Globalstar M080
1700,Globalstar M093
1700,Globalstar M090
1700,Globalstar M073
1700,Globalstar M079
1700,Globalstar M074
175,X-Sat
17500,Anik G1
17500,Anik F3
1800,TDRS-3
1800,TDRS-5
1800,TDRS-6
1800,TDRS-7
18000,XM 4
18000,XM 3
18000,DirecTV-10
18000,Sirius XM-5
18000,Express-AM7
18000,Galaxy-3C
19300,Intelsat 20
2300,TDRS-9
2300,TDRS-10
2300,TDRS-11
2300,TDRS-8
2600,N-Star C
2800,USA 127
2800,USA 114
2800,USA 95
2800,USA 174
2800,USA 108
2.2,CUSat-1
20,Nanosat-1
20,TET-1
20,Nanosat-1B
200,Meteosat 7
2000,Yamal-202
2000,Intelsat APR-2
2000,INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL)
20000,Echostar 15
20000,Echostar 14
20000,Echostar 11
20000,SES-4
20000,DirecTV-14
20000,Sirius FM-6
20000,Sirius FM-5
2100,Data Relay Test Satellite (DRTS)
216,AIM
220,Tango
220,Samba
220,Salsa
220,MKA-FKI-1
2200,Luch 5V
224,Rumba
2300,NSS-9
2300,CBERS 4
2300,GOES-13
2300,GOES-14
2400,Hubble Space Telescope
2500,Chandra X-Ray Observatory (CXO)
2530,Terra
2600,Himawari 8
2700,MTSAT-2
273,Geomagnetic Tail Laboratory (Geotail)
275,STSat-3
